rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
127,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",39,130,296,"71012"
128,"spotify:track:79j3Cl3AEAEhXK9cjjfd02","JC Reyes","RAPAPA","JC Reyes",8,132,114,"70672"
129,"spotify:track:6yCjU5j6YHbux2VQCBTTE1","Melendi","Tu jardín con enanitos","WM Spain",76,149,900,"70116"
130,"spotify:track:6LB49nISRDX9hK0d28SfY1","Dei V, Myke Towers","Trending Remix (with Myke Towers)","Encore Recordings",9,122,408,"69719"
131,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",5,121,1383,"69705"
132,"spotify:track:3mg9jYNC1NihbthlglzrWP","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","+57","Bichota/Interscope Records",8,131,93,"69596"
133,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",59,146,113,"69516"
134,"spotify:track:5osSgKDiyrzhLjsEABO6c9","Young Cister","miau","Sony Music Entertainment Chile S.A",98,127,32,"69039"
135,"spotify:track:4sykJxUsqdXZRqRv1J9fEQ","Omar Montes, JC Reyes","Goteras","Sony Music Latin",1,140,226,"67932"
136,"spotify:track:1mAUVEQWn2PRxWnRhQreBo","Sky Rompiendo, Dei V","CRUSH","Sony Music Latin",15,153,431,"66752"
137,"spotify:track:1PrL6L3z5m4QfQpZJhe5d1","Amaia","Tengo Un Pensamiento","Universal Music Spain S.L.",13,116,51,"65033"
138,"spotify:track:1pymWRCuZfCd0zdiBJo0Hj","Trueno","REAL GANGSTA LOVE","Sony Music Latin",1,168,259,"64803"
139,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,162,2215,"64672"
140,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",10,141,616,"64473"
141,"spotify:track:18Eb38xeQJQxs0R3n3VBQa","Dei V, Bryant Myers","Narcotics (with Bryant Myers)","Encore Recordings",15,137,512,"64253"
142,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",17,173,379,"63890"
143,"spotify:track:2S8bH7ABqJ02bWeH8bgQfU","Blessd, Anuel AA, Ovy On The Drums","MIRAME REMIX","WEA Latina",23,142,60,"63013"
144,"spotify:track:3AviWzZuvrGnfyLowzwCAJ","C Marí, John Pollõn","Contacto","CMARÍ24",68,143,44,"62742"
145,"spotify:track:2LsbizbOeNa4x6qsi2jAMb","Jarabe De Palo","La flaca","Parlophone Spain",17,163,378,"62672"
146,"spotify:track:7MVIfkyzuUmQ716j8U7yGR","Milo j, Taiu","Rara Vez","Universal Music Argentina S.A.",4,147,722,"62534"
147,"spotify:track:7ABLbnD53cQK00mhcaOUVG","Myke Towers","LALA","WEA Latina",1,169,602,"62195"
148,"spotify:track:48gfUjITHQLHuRnnNVNUzJ","Luis Cortés","AL ALBA","Sound Blaster Records",90,154,173,"61904"
149,"spotify:track:3LBYHlDSJOeUWSvCHXDWy5","Danny Ocean","VITAMINA","Atlantic Records",42,159,16,"61470"
150,"spotify:track:4CPuDVC8jhhK6lA2DIt8Cf","LISA, Doja Cat, RAYE","Born Again (feat. Doja Cat & RAYE)","Lloud Co./RCA Records",126,126,2,"60943"
151,"spotify:track:4cIADL8ZSxyz78stzb4F6X","Morad","Olvidar","M.D.L.R",43,156,37,"60919"
152,"spotify:track:3ZcUKMaqWY7jGEzAoU5mQs","Lola Indigo, Paulo Londra","PERREITO PA LLORAR","Universal Music Spain S.L.",21,158,70,"60897"
153,"spotify:track:6tZI1nTl6m40HG5Rs7QuHL","La La Love You, Samuraï","El Principio de algo","Subterfuge Records distributed by Altafonte",53,134,489,"60719"
154,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",127,148,149,"60455"
155,"spotify:track:3HqcNJdZ2seoGxhn0wVNDK","KAROL G","PROVENZA","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",2,179,1005,"60265"
156,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",8,152,548,"60155"
157,"spotify:track:1KBVkz8PGjKlMwqCmuKSGN","Dei V","Quickie","Encore Recordings",31,151,74,"60111"
158,"spotify:track:0eVborSuxUeSg0meWYd9dZ","Fito y Fitipaldis","Soldadito marinero","DRO/EastWest Spain",101,171,2406,"60079"
159,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,181,946,"59913"
160,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",79,196,14,"59470"
161,"spotify:track:63ZedTAVRCICh2CNLWnsPZ","Beny Jr, Morad, K y B","Sigue","K y B distributed by Altafonte",14,185,596,"59468"
162,"spotify:track:52IODvPwFf6LEzNOGKMSrZ","Clarent, Myke Towers","Sport+ RMX","WEA Latina",46,160,135,"59203"
163,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",66,176,151,"59073"
164,"spotify:track:6VFZJ2XxsZpKNupeG7ePr8","Beny Jr","VALKYRIE","LF BABYS",77,192,151,"58847"
165,"spotify:track:4RPeZbmVON5ZKT5HC9wALt","Beéle","morena","5020 Records",160,193,13,"58724"
166,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",2,167,484,"58708"
167,"spotify:track:6JjPBQfI2Y8nIjnm65X6Pw","Nicky Jam, J Balvin, Maluma, Ozuna","X (feat. Maluma & Ozuna) - Remix","Sony Music Latin",11,195,198,"58682"
168,"spotify:track:7ulBZOeFHaCeN2ubZxHxsg","Isabel Aaiún","Potra Salvaje","Níquel Records distributed by Altafonte",14,-1,230,"58627"
169,"spotify:track:6jfp0rIQSdBoijRTR7TC9l","iZaak, Clarent","TRAQUETO","WEA Latina",82,174,99,"58607"
170,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",7,-1,1013,"58435"
171,"spotify:track:1dXfyBNV1Dv6Qj73bCtdrk","Yami Safdie, Camilo","Querida Yo","WEA Latina",72,170,23,"58074"
172,"spotify:track:1txhQHV26PyOJJarkYtkOn","YOVNGCHIMI, Dei V","TU$$I (with Dei V)","Glizzy Gvng Inc./Encore",11,157,398,"58050"
173,"spotify:track:1uFW6czrHk5PsK3s6gOI7C","Rauw Alejandro, Laura Pausini","Se Fue","Sony Music Latin/Duars Entertainment",5,197,72,"57970"
174,"spotify:track:6doVTElb0aU40nVrQ8Supq","JC Reyes, Camin","34 Amor y Mafia","JC Reyes",20,178,519,"57936"
175,"spotify:track:4DxbTPS1DUzTKzpNfCbYjy","Quevedo, De La Rose, De La Ghetto","AMANECIÓ","2024 DQE Productions Distribuido por RIMAS Entertainment",13,166,78,"57840"
176,"spotify:track:7fRtruULHGuwC0wNRx1HSa","Bad Gyal, Beny Jr","Flow 2000 - Remix","Universal Music Latino/Interscope",8,-1,240,"57614"
177,"spotify:track:7haiQQxJnawx0dEyWiOmcB","Rigoberta Bandini","KAIMAN","Rigoberta Bandini",133,133,7,"57476"
178,"spotify:track:2eQFYGegTZaObk2kuBz83Z","Rauw Alejandro","Tú Con Él","Sony Music Latin/Duars Entertainment",12,189,44,"57381"
179,"spotify:track:6s9PpYbExKlHuJ8JMyep21","Yailin la Mas Viral, Puyalo Pantera","Bing Bong","Iris Live Music, LLC",120,-1,35,"56956"
180,"spotify:track:4rKQ8daoK0aklVptea8A9E","Lola Indigo, Quevedo","EL TONTO","Universal Music Spain S.L.",1,145,662,"56838"
181,"spotify:track:5n2XTRsYFlZwNBp06KAjDX","Cosculluela, Bad Bunny","Madura","Rottweilas, Inc.",7,194,672,"56599"
182,"spotify:track:5q86iSKkBtOoNkdgEDY5WV","Quevedo","VISTA AL MAR","Quevedo",2,182,875,"56178"
183,"spotify:track:18W8cuvcub2B9NQzm5rZxf","JC Reyes, Pedro Calderon, Blacknife","A 300","JC Reyes",11,-1,578,"56164"
184,"spotify:track:5jFA0f4ZDGLbQP4nxzL8D4","Lomiiel","HAY LUPITA","Open Shift Distribution",2,-1,242,"56156"
